year,community,harvest
1992,Igiugig,2
2005,Igiugig,5.4
2011,Igiugig,4.235294
2004,Iliamna,8.46
2011,Iliamna,2.380952
1992,Kokhanok,11
2005,Kokhanok,4.8
2009,Kokhanok,7
2010,Kokhanok,0
2011,Kokhanok,6.55814
1992,Levelock,0
2005,Levelock,0
2011,Levelock,0
2004,Newhalen,17.92
2009,Newhalen,7
2010,Newhalen,2
2011,Newhalen,7.941176
1996,"Pedro Bay",0
2004,"Pedro Bay",0
2011,"Pedro Bay",1.33333
